Horizontal,Vertical,Time,Temperature,Degradation,RPM,Load
"[102549.1252529406, 32.53418043238795, 0.8300754852873267, 0.019388269981632344, 0.20559148693996918, -0.063, 0.604186886650149]","[7227.466513235346, 32.53418043238795, 0.7859933233310976, -0.04273208858574362, 0.07235496291892624, 0.008362, 0.22233574826374639]",0.39062,82.395248,0.0023751106146547947,1650.0,4200.0
"[145260.15330660643, 32.53418043238795, 0.8240443504014645, -0.01699149787121934, 0.17741322744369, 0.03790100000000001, 0.5868180750445576]","[8187.993180676729, 46.48001993297304, 0.8487761541436436, -0.2815614534758355, -0.0016924589587926837, 0.006546000000000001, 0.23373971824232184]",0.42969,83.22808,0.002551918244408952,1650.0,4200.0
"[121161.12324401847, 32.53418043238795, 0.8086704146852077, -0.15140717356791322, 0.10741312101900588, 0.078638, 0.5465459513673118]","[7824.712624212565, 24.34793550567121, 0.9081675617610852, -0.3164335258435442, -0.09096422073479368, 0.007262, 0.23302527621698035]",0.46875,83.76806599999999,0.00272586734174441,1650.0,4200.0
"[125667.23438953515, 32.53418043238795, 0.7107629683139797, 2.055960803876048, 0.7267943336395721, 0.049286, 0.6175733107931398]","[8033.342722443293, 23.286077490589925, 0.8004831798962717, 0.017097905118099277, -0.07221913263640486, 0.003443000000000001, 0.23224834714374182]",0.50781,84.078316,0.0028976724130369558,1650.0,4200.0
"[388087.5191810524, 148.17577878015982, 0.8952345413887386, 0.5160397591134784, 0.5864333764168432, -0.0068509999999999995, 0.9947669329038837]","[7791.521506557255, 23.286077490589925, 0.8214367851753276, -0.11848717125831953, -0.007617152656407224, 0.001509, 0.2351194418141554]",0.54688,84.251378,0.003067880659806667,1650.0,4200.0
"[1604792.4884280083, 20.370370370370363, 1.0959049184504983, -1.2358817946912175, 0.11525650972363387, 0.32926099999999997, 1.4168332650241524]","[7391.298044628567, 22.772642910514104, 0.9192007657536564, -0.2705000586997701, 0.08530503445756261, -0.0052710000000000005, 0.23267682213533863]",0.58594,84.33834399999999,0.0032367844826479528,1650.0,4200.0
"[1425469.6253248826, 20.370370370370363, 1.0923142350899253, -1.4009392743669051, 0.06964708756011746, 0.2852930000000001, 1.5272493140122867]","[7447.495718440619, 24.34793550567121, 0.7642829578393504, -0.027791720150291965, 0.07167205261534411, -0.007018, 0.2278181811796416]",0.625,84.38848000000002,0.0034046827251793923,1650.0,4200.0
"[1156396.1380658129, 129.62232453661107, 0.9923804801322862, -1.1773236494940287, 0.3006844077399864, 0.13499399999999998, 1.6068984149484995]","[7832.819395805078, 22.270529046352106, 0.6484696730699022, 0.6227398689721375, -0.04236268868261802, -0.009082999999999999, 0.23883635424909666]",0.66406,84.545956,0.0035717061289171487,1650.0,4200.0
"[1422568.7765346137, 132.54480411126673, 0.9507228121302695, -0.9979802355732641, 0.2937957021567528, 0.09942399999999997, 1.523394416500205]","[7922.864000357343, 22.270529046352106, 0.6489389539707614, 0.6213096239708871, -0.06760548276139458, -0.008995, 0.2411381989129885]",0.70312,84.884276,0.0037378610893294946,1650.0,4200.0
"[729750.1563429696, 20.829643042330236, 1.067306324247212, -1.0302822356019024, -0.1776085892818611, 0.06031599999999999, 1.1643872706896103]","[7932.5309658829465, 33.267699740359916, 0.8087533804592557, -0.006393493651026372, -0.06963016018475213, -0.0038200000000000013, 0.2311221875978159]",0.74219,85.28788,0.0039030717973652885,1650.0,4200.0
"[450331.0742425478, 20.829643042330236, 1.0113881647795333, -0.9235288924456171, -0.10266179979065979, 0.089881, 0.959455220861818]","[8421.596079724422, 22.772642910514104, 0.8402257922181029, -0.139597182585931, -0.05343602557596053, -0.0027509999999999987, 0.2436724584334471]",0.78125,85.76740600000001,0.004067011317135652,1650.0,4200.0
"[271315.4926120512, 20.370370370370363, 1.0397731954552991, -0.9575429481060906, 0.03747203789989243, 0.0033669999999999902, 0.8571253457406331]","[8892.69149577022, 22.270529046352106, 0.8762288264980689, -0.21340147157614275, -0.058355392458538664, 0.0038149999999999994, 0.25080296404747693]",0.82031,86.322356,0.00422935539391016,1650.0,4200.0
"[705026.1669178098, 32.53418043238795, 1.0375706440711054, -0.8171337217079078, 0.09942214280614226, -0.011150999999999982, 0.8982546733521625]","[8674.590362066872, 22.772642910514104, 0.756333824968419, 0.12657954196115595, 0.06086848390547377, 0.0020490000000000013, 0.24655361810162105]",0.85938,86.81400599999999,0.00438965371867132,1650.0,4200.0
"[719980.3969681523, 126.76428269621107, 1.063302122280821, -0.8828446650750723, 0.23645513870189006, -0.064564, 0.9041556768079267]","[7943.958672073331, 22.772642910514104, 0.743007004974811, 0.3175165539087019, 0.10421380956814692, 0.0022130000000000014, 0.23870098791374955]",0.89844,87.243462,0.00454722893074803,1650.0,4200.0
"[435890.1080358276, 33.267699740359916, 1.020124293740813, -0.6271289134707154, 0.4400222603501288, -0.130106, 0.818489957643953]","[7716.572282113538, 23.286077490589925, 0.7533972616834054, 0.10098812773054178, 0.05088143834462859, 0.007153999999999999, 0.23222104186313522]",0.9375,87.68285800000001,0.004701976880401974,1650.0,4200.0
"[321184.4572236081, 20.829643042330236, 0.9423336641445242, -0.24631878130973694, 0.3929950494114279, -0.108385, 0.7246443408838573]","[8586.965555921353, 23.286077490589925, 0.7401021945700468, 0.18359120114550365, 0.007088599069561112, 0.010515999999999998, 0.24468263882834024]",0.97656,88.17748399999999,0.004854151317294813,1650.0,4200.0
"[226472.03122673143, 32.53418043238795, 0.8660566554502112, -0.28219246015516, -0.025189864640216723, 0.124728, 0.6587880478697227]","[8705.881044757021, 22.772642910514104, 0.771348991847916, 0.09835588295778086, -0.03468121677162677, 0.008773000000000003, 0.23838840045396503]",1.01562,88.781324,0.005003971122443364,1650.0,4200.0
"[188557.1857452576, 33.267699740359916, 0.8896758078987258, -0.33214107487176125, 0.011179570211765511, 0.070529, 0.6295056831824475]","[8747.051413395564, 22.270529046352106, 0.8105660229185625, 0.008269819335000594, 0.05031931318036427, 0.005885999999999999, 0.23591199843161856]",1.05469,89.444226,0.005151673236341754,1650.0,4200.0
"[229081.6523343187, 32.53418043238795, 0.8793734672215712, -0.10276400239973515, 0.2503078593822309, -0.15427600000000002, 0.625877468698147]","[8924.012708644545, 23.811088024719595, 0.7641198605190639, 0.045711063514288774, -0.038241811725209525, 0.007490999999999999, 0.2587811892680765]",1.09375,90.103708,0.005297361997154944,1650.0,4200.0
"[160137.18425908493, 32.53418043238795, 0.9102009572676268, -0.3314417862253136, 0.1260065792115285, -0.168567, 0.6124413012779266]","[8227.12221717168, 23.811088024719595, 0.7318090180736345, 0.11230350226268859, -0.0724095941116612, 0.008224, 0.2476159643964823]",1.13281,90.754004,0.005441235898519633,1650.0,4200.0
"[148439.4731010132, 148.17577878015982, 0.8414566412187627, -0.15058727406867822, -0.2602216322085435, 0.009336999999999996, 0.5760782841168377]","[7752.375650035267, 23.811088024719595, 0.6643085975295558, 0.256828876339418, 0.09494999913787323, 0.0045, 0.24203043197085777]",1.17188,91.364626,0.0055834720788877825,1650.0,4200.0
"[121623.50337306358, 33.267699740359916, 0.8182381953766127, 0.047818959636911185, -0.33122731206045586, 0.06479399999999998, 0.5481721295031333]","[8389.02563398169, 24.89688681058519, 0.6912605533760934, 0.19393404766564393, 0.08001181115360859, 0.0005910000000000006, 0.25001760281828156]",1.21094,91.884848,0.005724119202318033,1650.0,4200.0
"[134242.39259800164, 32.53418043238795, 0.7937423866045763, 0.4050090243319393, -0.4284490451733304, 0.017551999999999995, 0.6534855111599644]","[8438.964213389694, 32.53418043238795, 0.7526440163387792, 0.1961018325814785, 0.08919737135783011, -0.001758999999999999, 0.24570106006893824]",1.25,92.211972,0.005863315844666229,1650.0,4200.0
"[182139.11402739084, 32.53418043238795, 0.798615233105715, 0.15125585199926395, -0.3971703815482574, -0.021198, 0.6693925416345778]","[8578.28710151426, 23.811088024719595, 0.754700223606487, 0.2023506332605769, 0.13757656392233913, -0.0016570000000000005, 0.24548945670028274]",1.28906,92.442688,0.006001144482752116,1650.0,4200.0
"[145270.5709603908, 32.53418043238795, 0.8762937459736287, -0.08656256343496205, -0.30859680772351783, -0.04800500000000001, 0.6537262890346387]","[9701.55007705421, 22.772642910514104, 0.812091215126886, 0.02475358112470305, 0.06163171844686376, -0.003801, 0.2578278910416792]",1.32812,92.747016,0.006137668108506844,1650.0,4200.0
"[152155.16090739187, 32.53418043238795, 0.9310569268857932, -0.43826070517130944, -0.08808870151300897, -0.136463, 0.7102279385035484]","[8870.224756466732, 32.53418043238795, 0.7869709799751051, -0.05507857762395263, -0.036222325998831434, -0.0056609999999999985, 0.2573271460203917]",1.36719,93.080858,0.006272964699234295,1650.0,4200.0
"[166898.28793097966, 33.267699740359916, 0.857857843268682, -0.30439764637517497, -0.00808053902744642, -0.10260999999999999, 0.7024785234439556]","[8752.05887821842, 23.811088024719595, 0.785424297045915, 0.0428380188692965, -0.03272624276491312, 0.002008000000000001, 0.24302287533481287]",1.40625,93.386704,0.0064069890211621815,1650.0,4200.0
"[106550.37959403812, 33.267699740359916, 0.8254866169698023, -0.12330899827721176, -0.10002063129610919, -0.05527, 0.6996268899206205]","[9370.450313576383, 23.811088024719595, 0.7190272161765028, 0.2274137974301147, 0.08367108553231795, 0.004567, 0.2424805384170037]",1.44531,93.727552,0.00653978039588754,1650.0,4200.0
"[270735.79797339725, 32.53418043238795, 0.8251101562690278, -0.18798232685531868, -0.1630260607759871, -0.101969, 0.7264038904349288]","[8328.794903447419, 22.270529046352106, 0.7352297358322777, -0.03579183376192541, 0.0883512314540722, 0.0026469999999999996, 0.2352317206309557]",1.48438,94.143666,0.0066713573857770875,1650.0,4200.0
"[276372.41247102176, 32.53418043238795, 0.8112034050236163, -0.10737577809715582, -0.24751600526129713, -0.016401, 0.7645272514430077]","[8007.4114840673, 32.53418043238795, 0.8081313102968866, -0.14249058126582836, 0.00854547437153127, 0.006042000000000002, 0.23440521802212508]",1.52344,94.59137,0.006801618189001513,1650.0,4200.0
"[211394.20422268705, 32.53418043238795, 0.9135334904810355, -0.35189337277038213, -0.2186238665248032, 0.10904799999999999, 0.7766137107314034]","[9355.345075215331, 32.53418043238795, 0.844121464631521, -0.027164978540698215, -0.08373807174518723, 0.008740000000000001, 0.24655055546479712]",1.5625,95.023068,0.0069305427162227005,1650.0,4200.0
"[202850.9827289611, 32.53418043238795, 0.9463596210096075, -0.6163185809097933, -0.13298735175307833, 0.082044, 0.755150732015801]","[8670.648329392337, 22.772642910514104, 0.8092210114488154, 0.018054252940560733, -0.024885339846280895, 0.004726000000000001, 0.24887853447816669]",1.60156,95.338764,0.007058057555174724,1650.0,4200.0
"[328325.69141250313, 32.53418043238795, 0.8770133966075808, -0.6412988130338322, -0.08002899448725143, -0.00298899999999999, 0.7879423778925716]","[8709.439420445195, 22.772642910514104, 0.7973868451403238, -0.01617774557072993, 0.03275700760442191, 0.001883999999999999, 0.2469467079027376]",1.64062,95.41524,0.007184938954063399,1650.0,4200.0
"[317956.7515522721, 32.53418043238795, 0.9077294178605919, -0.5044691986450243, -0.12385520624450476, 0.08622000000000002, 0.8508229460939566]","[9222.902204593716, 22.772642910514104, 0.7427862480260088, 0.13380814847277822, -0.1074942206594266, 0.0023120000000000007, 0.26411056899715313]",1.67969,95.254524,0.0073128013519839835,1650.0,4200.0
"[325512.60267521313, 33.267699740359916, 0.9476518921784964, -0.4333516711434289, -0.23546606979969567, 0.08414400000000002, 0.8621324592334985]","[9639.619679455904, 46.48001993297304, 0.7763524142209384, 0.17096206271071868, -0.12294790235119224, 0.0009529999999999999, 0.26834709014818847]",1.71875,94.948542,0.007441376493471916,1650.0,4200.0
"[361084.8021515418, 32.53418043238795, 0.9028843475522046, -0.2978324893442821, -0.27178718724676354, 0.07602399999999997, 0.8021298893720393]","[8976.423322902458, 25.45821483364418, 0.7897249815453459, 0.05001845966256058, -0.013838485604374305, -0.006171000000000001, 0.2556245132200744]",1.75781,94.532816,0.0075704567788803185,1650.0,4200.0
"[290272.3311089212, 32.53418043238795, 0.9596343765954102, -0.18256449769973848, -0.3030765164222596, 0.140893, 0.7541421640188274]","[9455.344210464482, 23.286077490589925, 0.8223595318225554, -0.08389351883173912, -0.02192762611156432, -0.007041000000000002, 0.2537248772174301]",1.79688,94.148122,0.007699850981996375,1650.0,4200.0
"[668017.4817431216, 32.53418043238795, 0.9949929366581094, -0.43757173909472336, -0.41032965608654964, 0.03262799999999998, 0.7926420236247885]","[9055.96278218476, 32.53418043238795, 0.8904888928323205, -0.19776783887596894, -0.024139600321852195, -0.005290000000000001, 0.24511975828153879]",1.83594,94.06291999999998,0.00782928430730063,1650.0,4200.0
"[515833.9037890992, 32.53418043238795, 0.980834515407041, -0.4869660937459517, -0.37786666730112173, 0.057357, 0.7756896979791598]","[9120.714812560005, 22.772642910514104, 0.7713489919035759, 0.011120944886919837, 0.10533736751215991, -0.008377, 0.2536831544880345]",1.875,94.239158,0.0079585971813917,1650.0,4200.0
"[174939.40469639952, 31.81683448714817, 0.954625025120029, -0.1851216113441505, -0.3943698588012286, 0.222991, 0.6989558333106606]","[9013.636827365837, 24.89688681058519, 0.7558761022897711, 0.22913398623131132, 0.036840307532478384, -0.0069370000000000005, 0.2534091218385795]",1.91406,94.506192,0.008087612785645498,1650.0,4200.0
"[219632.99054317127, 31.115305298264754, 0.9182385173084973, -0.43959492485915863, -0.08176444995534216, 0.25226000000000004, 0.7189351044426749]","[8391.97482113398, 24.89688681058519, 0.761403635149777, 0.2295666915118897, -0.08008855619368906, 0.0003320000000000003, 0.23465135366325932]",1.95312,94.838974,0.00821617014807009,1650.0,4200.0
"[247753.19727940855, 32.53418043238795, 1.0017457414069135, -0.5791077522196129, 0.1367188342069928, 0.071234, 0.8140624234320117]","[8656.41977597008, 25.45821483364418, 0.7354275321319768, 0.1095914840922676, -0.05006218175023936, 0.0021310000000000005, 0.25329460286196387]",1.99219,95.159608,0.008344156812994441,1650.0,4200.0
"[205461.7942211149, 32.53418043238795, 0.9781448997067093, -0.4053246052712516, 0.3529785459903826, -0.144394, 0.7868165165805812]","[9506.958765239933, 22.270529046352106, 0.7650132438209247, 0.107140128870987, 0.03138266787156312, 0.006871, 0.2641299497576903]",2.03125,95.48513,0.008471377959543962,1650.0,4200.0
"[262567.5980867608, 32.53418043238795, 0.9706003014996953, -0.5055727782185411, 0.3902443959571847, -0.081505, 0.8054363463210484]","[8662.426293171002, 22.270529046352106, 0.8033865598173109, 0.05853836258216649, 0.08998792996529777, 0.007622000000000002, 0.2504827122098449]",2.07031,95.877092,0.00859775300106995,1650.0,4200.0
"[285091.85253835615, 32.53418043238795, 0.926740610292359, -0.5941793847422439, -0.08689938670402282, 0.12262100000000001, 0.8448392470517689]","[9229.846552468187, 22.270529046352106, 0.8548631538288427, -0.142093179886988, 0.11109717087137307, 0.004863000000000001, 0.2535063199034691]",2.10938,96.298956,0.008723216340501707,1650.0,4200.0
"[447048.0019902952, 20.370370370370363, 0.907826369169056, -0.4190646740414503, -0.026871052531327613, -0.016555999999999998, 0.8013174295271506]","[8691.5206242975, 23.811088024719595, 0.8501086754731602, -0.11325900141764222, 0.0761227221711403, 0.008768999999999999, 0.24827605530739366]",2.14844,96.755126,0.00884762200275664,1650.0,4200.0
"[285739.28678211453, 32.53418043238795, 0.7389089918147738, 0.13302395657981858, -0.016801308030950004, -0.299554, 0.6830741461100691]","[10256.280158385593, 22.270529046352106, 0.7444111636310597, 0.11789991726032722, -0.13164579044262514, 0.010427999999999998, 0.25740296582595934]",2.1875,97.25384400000002,0.008970936340826114,1650.0,4200.0
"[229328.73537131588, 20.370370370370363, 0.7337291080786219, 0.33765676713286963, 0.03756432065733172, -0.272724, 0.6961573671405051]","[10706.655526919862, 22.270529046352106, 0.7544038799202766, 0.054255149391214896, -0.13082858515551452, 0.012322999999999997, 0.27635281918410026]",2.22656,97.80322,0.009093109317257268,1650.0,4200.0
"[319879.20164072374, 33.267699740359916, 0.8101424058086987, 0.3987189232226602, 0.09582340580997482, -0.239768, 0.6626162827579776]","[9792.333270060617, 22.270529046352106, 0.7850975579294853, -0.08052043493800065, -0.02346418255194787, 0.010552999999999996, 0.2731941968472244]",2.26562,98.562748,0.009214106741229392,1650.0,4200.0
"[308141.74676686095, 31.115305298264754, 0.7943598522248698, 0.19166435236445878, -0.2182547348602407, -0.23310499999999998, 0.5869670825310395]","[9293.541745693017, 22.772642910514104, 0.8634695999377164, -0.1830361765724624, -0.023028135920783347, 0.012589999999999997, 0.2581319389382104]",2.30469,99.50616,0.009333940786800894,1650.0,4200.0
"[128289.3961809266, 32.53418043238795, 0.7839268193858759, 0.13230346278152094, -0.1243898320219187, -0.104718, 0.6003384149594293]","[9356.04718194221, 23.286077490589925, 0.8424467971080276, -0.17526018590931303, -0.09740403069410454, 0.0051579999999999985, 0.24605525606253567]",2.34375,100.174452,0.009452547614658,1650.0,4200.0
"[125006.91013020142, 33.267699740359916, 0.9081844960370683, -0.31472195336739883, -0.0754908587313695, -0.011382000000000008, 0.6520899064362213]","[9375.938886198383, 22.270529046352106, 0.8011635490821165, 0.06836209221330813, -0.10023089880804006, 0.001240000000000002, 0.24947164648512665]",2.38281,100.45945000000002,0.009569971402833482,1650.0,4200.0
"[185724.3881243625, 31.81683448714817, 0.9176687112448793, -0.34789655691668786, -0.008594232636532965, -0.08854000000000001, 0.6811055031344263]","[9416.527219241429, 22.772642910514104, 0.7526673558956172, 0.27499103625550436, -0.07050433169751714, 0.004103000000000002, 0.25535742869750233]",2.42188,100.50747,0.009686270973872863,1650.0,4200.0
"[105896.77166403517, 31.115305298264754, 0.9012424845277589, -0.31784904075477494, -0.0037938001957644055, -0.176703, 0.6871853685804145]","[10024.67671654236, 24.34793550567121, 0.7810328449323984, 0.17896471199038633, 0.02243377263548915, 0.005364999999999998, 0.26371945657269963]",2.46094,100.355954,0.00980143185186329,1650.0,4200.0
"[101264.68971828939, 32.53418043238795, 0.8134369617814465, -0.28947504015696746, 0.08803019405274438, -0.10553900000000002, 0.6976214449678279]","[10499.391519760513, 32.53418043238795, 0.780415308399611, -0.0343355373288583, 0.02464413827871686, 0.006013000000000001, 0.2689101835762268]",2.5,100.0856,0.009915544846981901,1650.0,4200.0
"[116580.38987506535, 31.115305298264754, 0.6872478626115563, 0.08594925307335721, -0.18348696332346104, -0.03345, 0.6762670075495328]","[10444.522975894686, 23.811088024719595, 0.7069352376333434, -0.02179712512363796, 0.02164587071468757, 0.006008000000000005, 0.27453317092111107]",2.53906,99.752244,0.010028686702947058,1650.0,4200.0
"[213229.83821862386, 31.115305298264754, 0.8545912288441032, 0.3538465230036292, -0.6737241387653407, 0.036241999999999996, 0.672075621813498]","[9605.353090331446, 23.811088024719595, 0.6651403510911991, -0.00776696253066822, 0.02819856396661986, 0.00865, 0.26424768967769613]",2.57812,99.52263,0.010140950010109279,1650.0,4200.0
"[208481.30110131664, 141.71356196091546, 0.9138103857169187, 0.5862732502194876, -0.7831909473140667, 0.097201, 0.6237651678308112]","[10316.054826131032, 23.811088024719595, 0.8296077423005597, -0.1628673081280816, -0.027915199810523914, 0.008591999999999999, 0.25807178756307325]",2.61719,99.530834,0.010252471661202365,1650.0,4200.0
"[192467.6207716143, 31.81683448714817, 0.8345244735709124, 0.08283388899571964, -0.5165246632003951, -0.001025999999999982, 0.6695061697430428]","[10029.560571917276, 23.811088024719595, 0.8513580006935417, -0.08901197535698291, 0.06358887967517997, 0.011391000000000002, 0.26277773139860994]",2.65625,99.746718,0.010363318880262528,1650.0,4200.0
"[173448.36873497686, 31.81683448714817, 0.8590297664541693, 0.007595796094296947, -0.36821098410858955, -0.0036680000000000133, 0.7057019921865036]","[9643.618732257493, 21.779486287708007, 0.7869347206179411, 0.021071026933508374, 0.14172937082792028, 0.010431000000000001, 0.2612946636251877]",2.69531,100.062394,0.01047366043926889,1650.0,4200.0
"[111366.963479538, 185.18518518518516, 0.8646447556994887, 0.14295024551959967, -0.3719899566750133, 0.095594, 0.6803679660036912]","[9011.415580027176, 23.811088024719595, 0.7091733583654896, 0.1269479719780371, 0.026355878478222326, 0.012525000000000001, 0.25739349520724103]",2.73438,100.413704,0.010583680448438864,1650.0,4200.0
"[310284.54234142747, 144.9086519406936, 1.0112292894550765, -0.7817646370135147, 0.02745448698247265, 0.023988, 0.8343035190241019]","[9039.76699440253, 22.270529046352106, 0.7434756986832148, 0.20247031268879745, -0.022240103220262538, 0.012485000000000001, 0.2518103726517238]",2.77344,100.725356,0.010693494454599077,1650.0,4200.0
"[302379.1246428294, 138.5889205005471, 1.0234247847308118, -0.8497939024592998, 0.23029619746259128, 0.008799999999999987, 0.9216107627409741]","[10118.984346108096, 22.270529046352106, 0.7223982865341592, 0.3202517189805425, -0.14802070953334115, 0.015617, 0.2615295362114956]",2.8125,101.018734,0.01080334248421114,1650.0,4200.0
"[236062.12298064568, 31.115305298264754, 0.9802992598503648, -0.6045888815431866, 0.25614960925850166, 0.04731, 0.8706924864152671]","[9972.060592157566, 31.115305298264754, 0.7177627128910178, 0.4010283393354763, -0.10593847638204625, 0.014911999999999998, 0.2632269785869222]",2.85156,101.357844,0.010913772178649968,1650.0,4200.0
"[411101.7842905652, 31.81683448714817, 0.9801631226845859, -0.5444948083212897, 0.34719235710961066, -0.086752, 0.8471618254477713]","[9449.952038078392, 21.779486287708007, 0.6830889419635158, 0.24241720398186262, 0.05140663360649343, 0.015371999999999997, 0.2477836952182286]",2.89062,101.718118,0.011024778268625475,1650.0,4200.0
"[352563.42460463685, 32.53418043238795, 0.9573997478362775, -0.4255450129115359, 0.3789524073012295, -0.121101, 0.8505866603697709]","[9983.811545440189, 23.286077490589925, 0.8134226082920388, -0.014782093282883046, -0.0050209780154066574, 0.012835999999999998, 0.2641602110538224]",2.92969,102.152504,0.011136181192573142,1650.0,4200.0
"[677867.1250953025, 21.299270527843998, 1.059428911991521, -0.9199719507772617, -0.13615292528998998, 0.241879, 1.012628851237708]","[10915.028444420554, 23.286077490589925, 0.763007296925857, 0.076001329472283, -0.041115211067007204, 0.010755, 0.2782046422599738]",2.96875,102.634076,0.01124772846348275,1650.0,4200.0
"[852922.7753454949, 138.5889205005471, 1.030331347216145, -0.9249500942130156, -0.48945273785847265, 0.34835900000000003, 1.1555171794997252]","[11152.309122277251, 22.270529046352106, 0.7306623256197268, 0.19146876233972288, -0.17849605096464374, 0.011937999999999999, 0.2775412548721361]",3.00781,103.062564,0.011359265825993514,1650.0,4200.0
"[798110.9905049994, 138.5889205005471, 1.0655428083166067, -0.8758580585512781, -0.43018637675125104, 0.286057, 1.1815783417746788]","[10508.864356024811, 23.811088024719595, 0.8222514349162029, 0.08949227045117025, -0.2142460888069365, 0.012195999999999999, 0.26789641950574855]",3.04688,103.273486,0.011470651708017508,1650.0,4200.0
"[777371.918867452, 33.267699740359916, 1.0368685072947765, -0.6391803600726669, -0.48654986622864776, 0.34483, 1.135353705723463]","[8870.34541292682, 33.267699740359916, 0.7058419840459706, 0.022747165469908737, -0.038469716405212254, 0.014960999999999999, 0.24999979895791918]",3.08594,103.167494,0.011581671700158508,1650.0,4200.0
"[485814.5810731876, 185.18518518518516, 1.059558540132724, -0.822548146425937, -0.38977501014068705, 0.24673499999999998, 1.103666374759601]","[8912.872447227166, 22.270529046352106, 0.7319551487400167, -0.03254342205335581, -0.05273139793789044, 0.009685, 0.26136715894503654]",3.125,102.850724,0.011692209672018212,1650.0,4200.0
"[1143332.5381111263, 20.370370370370363, 1.0467904537862454, -0.6807537833007515, 0.3675916987915219, -0.279015, 0.9928794099864293]","[11009.413010780461, 23.286077490589925, 0.8440611921258239, -0.0908796747200662, -0.14321059154538182, 0.0033390000000000004, 0.27211816565418784]",3.16406,102.460866,0.011802133639702941,1650.0,4200.0
"[508295.142673606, 20.370370370370363, 0.7779410239313872, 0.08089310878246847, 0.11772496138303845, -0.6671000000000001, 0.5782673706859137]","[10046.918332161507, 21.779486287708007, 0.823297489822907, 0.12421095761243661, -0.10069415278914466, -0.008329000000000001, 0.26241884985457886]",3.20312,102.128298,0.011911324305159626,1650.0,4200.0
"[451263.90054128657, 20.370370370370363, 0.7936177631051733, 0.05989799074351243, 0.2022908367376686, -0.626514, 0.5964360483773596]","[10011.037780259881, 22.270529046352106, 0.7675473513939083, 0.11645294759843372, -0.026412897957411113, -0.008764999999999998, 0.2669432070216435]",3.24219,101.912782,0.012019702679910631,1650.0,4200.0
